PC1,PC2,label,num_cellulases,cellulase_list,cellulases,clade
3.6944711698098054,-37.444849949561565,Nelumbo_nucifera,5,"['GH1', 'GH3', 'GH9', 'GH10', 'GH51']","GH1, GH3, GH9, GH10, GH51",Viridiplantae
-28.698243343268388,-6.557855437971711,Onychostruthus_taczanowskii,2,"['GH1', 'GH3']","GH1, GH3",Chordata
-13.601207712883689,-55.929740365795844,Cucumis_sativus,6,"['GH1', 'GH3', 'GH9', 'GH9', 'GH10', 'GH51']","GH1, GH3, GH9, GH9, GH10, GH51",Viridiplantae
-2.144358020935707,21.810191801938885,Apaloderma_vittatum,1,['GH1'],GH1,Chordata
-6.222386656347503,-28.143399812270868,Nomia_melanderi,2,"['GH1', 'GH9']","GH1, GH9",Arthropoda
-24.59282945176422,-5.432711316952119,Notechis_scutatus,2,"['GH1', 'GH3']","GH1, GH3",Chordata
27.882628707032303,8.614365221634724,Cercospora_kikuchii,8,"['GH1', 'GH3', 'GH3', 'GH7', 'GH10', 'GH12', 'GH16', 'GH51']","GH1, GH3, GH3, GH7, GH10, GH12, GH16, GH51",Ascomycota
-2.2791012091495126,-16.366274629448423,Heterostelium_album_PN500,3,"['GH5', 'GH7', 'GH9']","GH5, GH7, GH9",Amoebozoa
-4.299710191038371,19.363849228060598,Epinephelus_lanceolatus,1,['GH1'],GH1,Chordata
-4.053873566250619,18.10783405538568,Piliocolobus_tephrosceles,1,['GH1'],GH1,Chordata
8.122700713105894,-12.284904727567417,Ogataea_parapolymorpha_DL-1,2,"['GH3', 'GH16']","GH3, GH16",Ascomycota
6.897686732552781,-16.72967979691673,Wickerhamiella_sorbophila,1,['GH16'],GH16,Ascomycota
37.64831016957232,-2.0136208592972595,Verticillium_nonalfalfae,13,"['GH1', 'GH2', 'GH3', 'GH3', 'GH5', 'GH6', 'GH7', 'GH10', 'GH12', 'GH45', 'GH51', 'GH74', 'GH131']","GH1, GH2, GH3, GH3, GH5, GH6, GH7, GH10, GH12, GH45, GH51, GH74, GH131",Ascomycota
-3.4723859797732692,-3.153741808769938,Maniola_hyperantus,2,"['GH1', 'GH2']","GH1, GH2",Arthropoda
29.46670814469398,7.933423300000726,Penicillium_arizonense,10,"['GH1', 'GH2', 'GH3', 'GH3', 'GH5', 'GH7', 'GH10', 'GH12', 'GH16', 'GH51']","GH1, GH2, GH3, GH3, GH5, GH7, GH10, GH12, GH16, GH51",Ascomycota
-6.777899787451273,17.18351162305475,Bubalus_bubalis,1,['GH1'],GH1,Chordata
38.709627641700756,-4.450979588922174,Fusarium_subglutinans,14,"['GH1', 'GH2', 'GH3', 'GH3', 'GH5', 'GH5', 'GH6', 'GH7', 'GH10', 'GH12', 'GH45', 'GH51', 'GH74', 'GH131']","GH1, GH2, GH3, GH3, GH5, GH5, GH6, GH7, GH10, GH12, GH45, GH51, GH74, GH131",Ascomycota
-0.702488331913836,-43.21711014104776,Brassica_rapa,6,"['GH1', 'GH2', 'GH3', 'GH9', 'GH10', 'GH51']","GH1, GH2, GH3, GH9, GH10, GH51",Viridiplantae
-3.304261157153325,-32.186539538020384,Lytechinus_variegatus,3,"['GH1', 'GH3', 'GH9']","GH1, GH3, GH9",other
4.175330457410327,-36.73853534305604,Erythranthe_guttata,5,"['GH1', 'GH3', 'GH9', 'GH10', 'GH51']","GH1, GH3, GH9, GH10, GH51",Viridiplantae
39.94255730760076,-5.493843325696727,Fusarium_venenatum,13,"['GH1', 'GH2', 'GH3', 'GH3', 'GH5', 'GH5', 'GH6', 'GH7', 'GH10', 'GH45', 'GH51', 'GH74', 'GH131']","GH1, GH2, GH3, GH3, GH5, GH5, GH6, GH7, GH10, GH45, GH51, GH74, GH131",Ascomycota
-6.056221173135102,15.960426287281466,Gouania_willdenowi,1,['GH1'],GH1,Chordata
16.189044534946596,-4.167566670456694,Ustilago_maydis_521,8,"['GH3', 'GH3', 'GH5', 'GH9', 'GH10', 'GH16', 'GH45', 'GH51']","GH3, GH3, GH5, GH9, GH10, GH16, GH45, GH51",Basidiomycota
-7.371546039698169,-26.992204570801835,Hyalella_azteca,2,"['GH1', 'GH9']","GH1, GH9",Arthropoda
-10.237966290521438,-57.44753517771626,Helianthus_annuus,7,"['GH1', 'GH2', 'GH3', 'GH9', 'GH9', 'GH10', 'GH51']","GH1, GH2, GH3, GH9, GH9, GH10, GH51",Viridiplantae
-5.35757860906232,16.547258174239154,Salmo_salar,1,['GH1'],GH1,Chordata
-3.7259412833017116,18.516498929479894,Hermetia_illucens,1,['GH1'],GH1,Arthropoda
28.6737811293791,0.2274438829454059,Pyrenophora_tritici-repentis_Pt-1C-BFP,11,"['GH1', 'GH2', 'GH3', 'GH3', 'GH7', 'GH10', 'GH12', 'GH16', 'GH45', 'GH51', 'GH131']","GH1, GH2, GH3, GH3, GH7, GH10, GH12, GH16, GH45, GH51, GH131",Ascomycota
-5.861650376448849,18.22139563932577,Pipistrellus_kuhlii,1,['GH1'],GH1,Chordata
-25.81696777293045,-7.247901621802006,Python_bivittatus,2,"['GH1', 'GH3']","GH1, GH3",Chordata
-24.144246642614025,-5.057487492849714,Geospiza_fortis,2,"['GH1', 'GH3']","GH1, GH3",Chordata
-5.302192095422523,16.95219557041298,Vombatus_ursinus,1,['GH1'],GH1,Chordata
17.830438604688773,-3.8110335209829582,Acaromyces_ingoldii,9,"['GH1', 'GH3', 'GH5', 'GH7', 'GH9', 'GH12', 'GH16', 'GH45', 'GH51']","GH1, GH3, GH5, GH7, GH9, GH12, GH16, GH45, GH51",Basidiomycota
